,SMILES,pIC50,num_atoms,logP
2615,CCCCOC(=O)c1ccc(O)cc1,0.0,14,2.3491
2616,O=C(OCCO)c1ccccc1,0.15,12,0.8357
2617,O=C(OOC(=O)c1ccccc1)c1ccccc1,0.0,18,2.6154
2618,O=C(C=Cc1ccccc1)c1ccccc1,0.0,16,3.5827
2619,O=C(OCc1ccccc1)c1cccnc1,0.0,16,2.4386
2620,CC(C)CCOC(=O)c1ccccc1,0.0,14,2.8895
2621,O=C(OCCc1ccccc1)c1ccccc1,0.0,17,3.0861
2622,CCOc1ccccc1O,0.02,10,1.7909
2623,Cc1cc(Cl)ccc1OCC(=O)O,0.01,13,2.11182
2624,O=C(O)COc1ccc(Cl)cc1Cl,0.0,13,2.4568
2625,O=C(O)CCCOc1ccc(Cl)cc1Cl,0.0,15,3.237
2626,ClCc1ccc(Cl)cc1Cl,0.0,10,3.7322
2627,C1=Cc2ccccc2C1,0.01,9,2.2559
2628,c1ccc2[nH]nnc2c1,0.11,9,0.9579
2629,c1ccc2sccc2c1,0.0,9,2.9013
2630,c1ccc2scnc2c1,0.01,9,2.2963
2631,Cc1cc2ccccc2[nH]1,0.0,10,2.47632
2632,CC(C)(C)NSc1nc2ccccc2s1,0.0,15,3.6915
2633,Cc1ccccc1C,0.0,8,2.30344
2634,Cc1ccccc1O,0.02,8,1.70062
2635,Cc1ccccc1Cl,0.0,8,2.64842
2636,Clc1ccccc1Cl,0.0,8,2.9934
2637,Nc1ccccc1Cl,0.01,8,1.9222
2638,Cc1ccccc1N,0.03,8,1.57722
2639,Nc1ccccc1N,0.14,8,0.851
2640,Nc1ccccc1O,0.11,8,0.9744
2641,Oc1ccccc1Br,0.01,8,2.1547
2642,Oc1ccccc1Cl,0.01,8,2.0456
2643,NC1CC1c1ccccc1,0.03,10,1.5012
2644,Cc1ccc(C)c(C)c1,0.0,9,2.61186
2645,Cc1ccc(N)cc1C,0.01,9,1.88564
2646,Cc1ccc(O)cc1C,0.01,9,2.00904
2647,Cc1ccc(N)c(C)c1,0.01,9,1.88564
2648,Cc1cc(O)ccc1O,0.04,9,1.40622
2649,Cc1ccc(C)c(Cl)c1,0.0,9,2.95684
2650,Cc1ccc(Cl)cc1Cl,0.0,9,3.30182
2651,Cc1ccc(Cl)c(Cl)c1,0.0,9,3.30182
2652,Nc1ccc(Cl)c(Cl)c1,0.0,9,2.5756
2653,Oc1ccc(Cl)c(Cl)c1,0.0,9,2.699
2654,Cc1ccc(C)c(N)c1,0.01,9,1.88564
2655,Cc1ccc(N)cc1N,0.07,9,1.15942
2656,Nc1cc(Cl)ccc1Cl,0.0,9,2.5756
2657,Nc1ccc(Cl)cc1N,0.03,9,1.5044
2658,Cc1ccc(O)c(N)c1,0.05,9,1.28282
2659,Nc1cc(Cl)ccc1O,0.02,9,1.6278
2660,Cc1ccc(C)c(O)c1,0.01,9,2.00904
2661,Oc1ccc(Cl)c(O)c1,0.02,9,1.7512
2662,Cc1cnc(C)c(Cl)n1,0.02,9,1.74684
2663,CCOC(=O)C(=O)OCC,0.77,10,0.1126
2664,Cc1cc(C)c(C)cc1C,0.0,10,2.92028
2665,Clc1cc(Cl)c(Cl)cc1Cl,0.0,10,4.3002
2666,Oc1cc(Cl)c(Cl)cc1Cl,0.0,10,3.3524
2667,c1ccc(C2CO2)cc1,0.02,9,1.7579
2668,ClCC(Br)CBr,0.0,6,2.3836
2669,CCC(C)CC,0.0,6,2.4425
2670,ClCC(Cl)CCl,0.01,6,2.0714
2671,CCC(=O)CC,0.04,6,1.3755
2672,CCC(C)N=O,0.03,6,1.5513
2673,CNC(=O)NC,,6,-0.4548
2674,C=CC(=O)OC,0.45,6,0.3454
2675,CC1CCCC1,0.01,6,2.1965
2676,Clc1cccs1,0.0,6,2.4015
2677,S=C1NCCN1,,6,-0.5359
2678,O=C1CCCO1,0.47,6,0.3234
2679,Nc1nccs1,0.19,6,0.7253
2680,Cn1cccc1,0.09,6,1.0251
